Subject,num_runs,run_numbers,Session
sub-02,3,"01, 02, 03",ses-all
sub-03,3,"01, 02, 03",ses-all
sub-04,3,"01, 02, 03",ses-all
sub-05,3,"01, 02, 03",ses-all
sub-06,3,"01, 02, 03",ses-all
sub-07,3,"01, 02, 03",ses-all
sub-08,3,"01, 02, 03",ses-all
sub-09,3,"01, 02, 03",ses-all
sub-10,3,"01, 02, 03",ses-all
sub-11,3,"01, 02, 03",ses-all
sub-12,3,"01, 02, 03",ses-all
sub-13,3,"01, 02, 03",ses-all
sub-14,3,"01, 02, 03",ses-all
sub-15,3,"01, 02, 03",ses-all
sub-16,3,"01, 02, 03",ses-all
sub-17,3,"01, 02, 03",ses-all
sub-18,3,"01, 02, 03",ses-all
sub-19,3,"01, 02, 03",ses-all
sub-20,3,"01, 02, 03",ses-all
sub-21,3,"01, 02, 03",ses-all
sub-22,3,"01, 02, 03",ses-all
sub-23,3,"01, 02, 03",ses-all
sub-24,3,"01, 02, 03",ses-all
sub-25,3,"01, 02, 03",ses-all
sub-27,3,"01, 02, 03",ses-all
sub-28,3,"01, 02, 03",ses-all
sub-29,3,"01, 02, 03",ses-all
sub-30,3,"01, 02, 03",ses-all
sub-31,3,"01, 02, 03",ses-all
sub-33,3,"01, 02, 03",ses-all
