Subject,num_runs,run_numbers,Session
sub-001,0,None,ses-all
sub-002,0,None,ses-all
sub-003,0,None,ses-all
sub-004,0,None,ses-all
sub-005,0,None,ses-all
sub-006,0,None,ses-all
sub-007,0,None,ses-all
sub-008,0,None,ses-all
sub-009,0,None,ses-all
sub-010,0,None,ses-all
sub-011,0,None,ses-all
sub-012,0,None,ses-all
sub-013,0,None,ses-all
sub-014,0,None,ses-all
sub-015,0,None,ses-all
sub-016,0,None,ses-all
sub-017,0,None,ses-all
sub-018,0,None,ses-all
sub-019,0,None,ses-all
sub-020,0,None,ses-all
sub-021,0,None,ses-all
sub-022,0,None,ses-all
sub-023,0,None,ses-all
sub-024,0,None,ses-all
sub-025,0,None,ses-all
sub-026,0,None,ses-all
sub-027,0,None,ses-all
sub-028,0,None,ses-all
sub-029,0,None,ses-all
sub-030,0,None,ses-all
sub-031,0,None,ses-all
sub-032,0,None,ses-all
sub-033,0,None,ses-all
sub-034,0,None,ses-all
sub-035,0,None,ses-all
sub-036,0,None,ses-all
sub-037,0,None,ses-all
sub-038,0,None,ses-all
sub-039,0,None,ses-all
sub-040,0,None,ses-all
sub-041,0,None,ses-all
sub-042,0,None,ses-all
sub-043,0,None,ses-all
sub-044,0,None,ses-all
sub-045,0,None,ses-all
sub-046,0,None,ses-all
sub-047,0,None,ses-all
sub-048,0,None,ses-all
sub-049,0,None,ses-all
sub-050,0,None,ses-all
